  Word				Document List			Total_Frequency		Doc1_Freq		Doc2_Freq		Doc3_Freq		Doc4_Freq		Doc5_Freq		Doc6_Freq		Doc7_Freq		Doc8_Freq		Doc9_Freq		Doc10_Freq

 abandon			 {9, 10}				       3		       0		       0		       0		       0		       0		       0		       0		       0		       1		       2
 abbrevi			     {7}				       1		       0		       0		       0		       0		       0		       0		       1		       0		       0		       0
 abdomen			     {7}				       1		       0		       0		       0		       0		       0		       0		       1		       0		       0		       0
 abdomin			     {7}				       1		       0		       0		       0		       0		       0		       0		       1		       0		       0		       0
aberdeen			     {1}				       1		       1		       0		       0		       0		       0		       0		       0		       0		       0		       0
    abey			     {7}				       1		       0		       0		       0		       0		       0		       0		       1		       0		       0		       0
    abid			    {10}				       1		       0		       0		       0		       0		       0		       0		       0		       0		       0		       1
    abil			     {7}				       1		       0		       0		       0		       0		       0		       0		       1		       0		       0		       0
     abl			{1, 2, 6, 7, 8, 9}				      23		       1		       3		       0		       0		       0		       7		       6		       2		       4		       0
  abroad			     {8}				       1		       0		       0		       0		       0		       0		       0		       0		       1		       0		       0
  absenc			{4, 6, 7}				       5		       0		       0		       0		       2		       0		       2		       1		       0		       0		       0
  absent			  {5, 7}				       2		       0		       0		       0		       0		       1		       0		       1		       0		       0		       0
 absolut			{8, 10, 4}				       4		       0		       0		       0		       1		       0		       0		       0		       1		       0		       2
  absorb			{2, 5, 7, 9, 10}				      10		       0		       2		       0		       0		       2		       0		       2		       0		       3		       1
 absorpt			{2, 4, 6}				       3		       0		       1		       0		       1		       0		       1		       0		       0		       0		       0
absurdli			     {1}				       1		       1		       0		       0		       0		       0		       0		       0		       0		       0		       0
   abund			{1, 6, 7}				       8		       1		       0		       0		       0		       0		       1		       6		       0		       0		       0
abundantli			     {7}				       1		       0		       0		       0		       0		       0		       0		       1		       0		       0		       0
   abyss			  {1, 7}				       4		       1		       0		       0		       0		       0		       0		       3		       0		       0		       0
  accept			{4, 5, 6, 8, 9, 10}				      11		       0		       0		       0		       2		       1		       2		       0		       1		       1		       4
  access			    {10}				      12		       0		       0		       0		       0		       0		       0		       0		       0		       0		      12
accident			     {9}				       1		       0		       0		       0		       0		       0		       0		       0		       0		       1		       0
accompani			{1, 3, 4}				       3		       1		       0		       1		       1		       0		       0		       0		       0		       0		       0
accomplish			  {9, 7}				       4		       0		       0		       0		       0		       0		       0		       1		       0		       3		       0
